Segundo cuatrimestre | Primer curso | Grupo 1ºB | Estadística (ES) — Teoría (aula 0.6): Lunes 10:30-11:30, Lunes 9:30-10:30, Miércoles 11:30-12:30 Prácticas: subgrupo B1 Viernes 9:30-10:30 (aula 2.3); subgrupo B2 Jueves 9:30-10:30 (aula 2.2); subgrupo B3 Miércoles 9:30-10:30 (aula 2.3).
Segundo cuatrimestre | Primer curso | Grupo 1ºB | Ingeniería, Empresa y Sociedad (IES) — Teoría (aula 0.6): Lunes 11:30-13:30, Viernes 11:30-13:30.
Segundo cuatrimestre | Primer curso | Grupo 1ºB | Lógica y Métodos Discretos (LMD) — Teoría (aula 0.6): Martes 10:30-11:30, Martes 9:30-10:30, Jueves 11:30-12:30 Prácticas: subgrupo B1 Viernes 10:30-11:30 (aula 0.6); subgrupo B2 Jueves 10:30-11:30 (aula 0.6); subgrupo B3 Miércoles 10:30-11:30 (aula 1.8).
Segundo cuatrimestre | Primer curso | Grupo 1ºB | Metodología de la Programación (MP) — Teoría (aula 0.6): Miércoles 12:30-13:30, Jueves 12:30-13:30 Prácticas: subgrupo B1 Jueves 10:30-11:30 (aula 2.6), Jueves 9:30-10:30 (aula 2.6); subgrupo B2 Miércoles 10:30-11:30 (aula 2.6), Miércoles 9:30-10:30 (aula 2.6); subgrupo B3 Viernes 10:30-11:30 (aula 2.6), Viernes 9:30-10:30 (aula 2.6).
Segundo cuatrimestre | Primer curso | Grupo 1ºB | Tecnología y Organización de los Computadores (TOC) — Teoría (aula 0.6): Martes 11:30-13:30 Prácticas: subgrupo B1 Miércoles 10:30-11:30 (aula 3.8), Miércoles 9:30-10:30 (aula 3.8); subgrupo B2 Viernes 10:30-11:30 (aula 3.8), Viernes 9:30-10:30 (aula 3.8); subgrupo B3 Jueves 10:30-11:30 (aula 3.8), Jueves 9:30-10:30 (aula 3.8).
Segundo cuatrimestre | Primer curso | Grupo 1ºB | Asignaturas: Estadística (ES), Ingeniería, Empresa y Sociedad (IES), Lógica y Métodos Discretos (LMD), Metodología de la Programación (MP), Tecnología y Organización de los Computadores (TOC).
Primer cuatrimestre | Primer curso | Grupo 1ºC | Álgebra Lineal y Estructuras Matemáticas (ALEM) — Teoría (aula 0.1): Miércoles 11:30-13:30, Viernes 12:30-13:30 Prácticas: subgrupo C1 Miércoles 9:30-10:30 (aula 1.3); subgrupo C2 Martes 11:30-12:30 (aula 0.1).
Primer cuatrimestre | Primer curso | Grupo 1ºC | Cálculo (CA) — Teoría (aula 0.1): Jueves 11:30-13:30, Viernes 9:30-10:30 Prácticas: subgrupo C1 Miércoles 10:30-11:30 (aula 3.1); subgrupo C2 Martes 12:30-13:30 (aula 3.3).
Primer cuatrimestre | Primer curso | Grupo 1ºC | Fundamentos Físicos y Tecnológicos (FFT) — Teoría (aula 0.1): Lunes 10:30-11:30, Lunes 9:30-10:30 Prácticas: subgrupo C1 Viernes 10:30-12:30 (aula 3.6); subgrupo C2 Jueves 10:30-11:30 (aula 3.6), Jueves 9:30-10:30 (aula 3.6).
Primer cuatrimestre | Primer curso | Grupo 1ºC | Fundamentos de Programación (FP) — Teoría (aula 0.1): Martes 10:30-11:30, Martes 9:30-10:30 Prácticas: subgrupo C1 Martes 11:30-13:30 (aula 2.2); subgrupo C2 Miércoles 10:30-11:30 (aula 2.6), Miércoles 9:30-10:30 (aula 2.6).
Primer cuatrimestre | Primer curso | Grupo 1ºC | Fundamentos del Software (FS) — Teoría (aula 0.1): Lunes 11:30-13:30 Prácticas: subgrupo C1 Jueves 10:30-11:30 (aula 2.4), Jueves 9:30-10:30 (aula 2.4); subgrupo C2 Viernes 10:30-12:30 (aula 2.4).
Primer cuatrimestre | Primer curso | Grupo 1ºC | Asignaturas: Álgebra Lineal y Estructuras Matemáticas (ALEM), Cálculo (CA), Fundamentos Físicos y Tecnológicos (FFT), Fundamentos de Programación (FP), Fundamentos del Software (FS).
Segundo cuatrimestre | Primer curso | Grupo 1ºC | Estadística (ES) — Teoría (aula 0.5): Martes 9:30-10:30, Jueves 10:30-12:30 Prácticas: subgrupo C1 Lunes 12:30-13:30 (aula 2.3); subgrupo C2 Viernes 12:30-13:30 (aula 2.3).
Segundo cuatrimestre | Primer curso | Grupo 1ºC | Ingeniería, Empresa y Sociedad (IES) — Teoría (aula 0.5): Lunes 10:30-11:30, Lunes 9:30-10:30, Miércoles 10:30-11:30, Miércoles 9:30-10:30.
Segundo cuatrimestre | Primer curso | Grupo 1ºC | Lógica y Métodos Discretos (LMD) — Teoría (aula 0.5): Martes 10:30-12:30, Jueves 12:30-13:30 Prácticas: subgrupo C1 Lunes 11:30-12:30 (aula 1.3); subgrupo C2 Viernes 11:30-12:30 (aula 0.5).
Segundo cuatrimestre | Primer curso | Grupo 1ºC | Metodología de la Programación (MP) — Teoría (aula 0.5): Martes 12:30-13:30, Jueves 9:30-10:30 Prácticas: subgrupo C1 Miércoles 11:30-13:30 (aula 2.2); subgrupo C2 Lunes 11:30-13:30 (aula 2.1).
Segundo cuatrimestre | Primer curso | Grupo 1ºC | Tecnología y Organización de los Computadores (TOC) — Teoría (aula 0.5): Viernes 10:30-11:30, Viernes 9:30-10:30 Prácticas: subgrupo C1 Viernes 11:30-13:30 (aula 3.8); subgrupo C2 Miércoles 11:30-13:30 (aula 3.8).
Segundo cuatrimestre | Primer curso | Grupo 1ºC | Asignaturas: Estadística (ES), Ingeniería, Empresa y Sociedad (IES), Lógica y Métodos Discretos (LMD), Metodología de la Programación (MP), Tecnología y Organización de los Computadores (TOC).
Primer cuatrimestre | Primer curso | Grupo 1ºD | Álgebra Lineal y Estructuras Matemáticas (ALEM) — Teoría (aula 0.2): Martes 18:30-19:30, Miércoles 16:30-17:30, Jueves 16:30-17:30 Prácticas: subgrupo D1 Lunes 16:30-17:30 (aula 1.2); subgrupo D2 Miércoles 18:30-19:30 (aula 1.1); subgrupo D3 Jueves 17:30-18:30 (aula 0.5).
Primer cuatrimestre | Primer curso | Grupo 1ºD | Cálculo (CA) — Teoría (aula 0.2): Martes 16:30-18:30, Jueves 15:30-16:30 Prácticas: subgrupo D1 Lunes 15:30-16:30 (aula 2.8); subgrupo D2 Miércoles 17:30-18:30 (aula 3.2); subgrupo D3 Jueves 18:30-19:30 (aula 2.2).
Primer cuatrimestre | Primer curso | Grupo 1ºD | Fundamentos Físicos y Tecnológicos (FFT) — Teoría (aula 0.2): Lunes 17:30-19:30 Prácticas: subgrupo D1 Miércoles 17:30-19:30 (aula 3.6); subgrupo D2 Jueves 17:30-19:30 (aula 3.6); subgrupo D3 Viernes 17:30-19:30 (aula 3.6).
Primer cuatrimestre | Primer curso | Grupo 1ºD | Fundamentos de Programación (FP) — Teoría (aula 0.2): Martes 15:30-16:30, Miércoles 15:30-16:30 Prácticas: subgrupo D1 Viernes 17:30-19:30 (aula 2.2); subgrupo D2 Lunes 15:30-17:30 (aula 2.3); subgrupo D3 Miércoles 17:30-19:30 (aula 3.5).
Primer cuatrimestre | Primer curso | Grupo 1ºD | Fundamentos del Software (FS) — Teoría (aula 0.2): Viernes 15:30-17:30 Prácticas: subgrupo D1 Jueves 17:30-19:30 (aula 2.4); subgrupo D2 Viernes 17:30-19:30 (aula 3.2); subgrupo D3 Lunes 15:30-17:30 (aula 2.2).
Primer cuatrimestre | Primer curso | Grupo 1ºD | Asignaturas: Álgebra Lineal y Estructuras Matemáticas (ALEM), Cálculo (CA), Fundamentos Físicos y Tecnológicos (FFT), Fundamentos de Programación (FP), Fundamentos del Software (FS).
Segundo cuatrimestre | Primer curso | Grupo 1ºD | Estadística (ES) — Teoría (aula 0.2): Lunes 16:30-17:30, Miércoles 15:30-17:30 Prácticas: subgrupo D1 Viernes 17:30-18:30 (aula 3.5); subgrupo D2 Jueves 17:30-18:30 (aula 3.3); subgrupo D3 Martes 18:30-19:30 (aula 3.9).
Segundo cuatrimestre | Primer curso | Grupo 1ºD | Ingeniería, Empresa y Sociedad (IES) — Teoría (aula 0.2): Martes 15:30-17:30, Jueves 15:30-17:30.
Segundo cuatrimestre | Primer curso | Grupo 1ºD | Lógica y Métodos Discretos (LMD) — Teoría (aula 0.2): Lunes 15:30-16:30, Miércoles 17:30-19:30 Prácticas: subgrupo D1 Viernes 18:30-19:30 (aula 1.8); subgrupo D2 Jueves 18:30-19:30 (aula 1.4); subgrupo D3 Martes 17:30-18:30 (aula 1.8).
